player,country,age,role,base_price_lakh,sold_price_lakh,team,capped_status,season,price_multiplier,is_overseas
Mitchell Santner,New Zealand,30,ALL-ROUNDER,100,190.0,CSK,Capped,2022,1.9,True
Romario Shepherd,West Indies,27,ALL-ROUNDER,75,775.0,SRH,Capped,2022,10.333333333333334,True
Glenn Phillips,New Zealand,25,WICKETKEEPER,150,150.0,SRH,Capped,2022,1.0,True
Tim Seifert,New Zealand,27,WICKETKEEPER,50,50.0,DC,Capped,2022,1.0,True
Jason Behrendorff,Australia,31,BOWLER,75,75.0,RCB,Capped,2022,1.0,True
Nathan Ellis,Australia,27,BOWLER,75,75.0,PK,Capped,2022,1.0,True
Fazalhaq Farooqi,Afghanistan,21,BOWLER,50,50.0,SRH,Capped,2022,1.0,True
Siddharth Kaul,India,31,BOWLER,75,75.0,RCB,Capped,2022,1.0,False
Obed Mccoy,West Indies,25,BOWLER,75,75.0,RR,Capped,2022,1.0,True
Tymal Mills,England,29,BOWLER,100,150.0,MI,Capped,2022,1.5,True
Adam Milne,New Zealand,29,BOWLER,150,190.0,CSK,Capped,2022,1.2666666666666666,True
Subhranshu Senapati,India,25,BATSMAN,20,20.0,CSK,Uncapped,2022,1.0,False
Tim David,Australia,26,ALL-ROUNDER,40,825.0,MI,Uncapped,2022,20.625,True
Pravin Dubey,India,28,ALL-ROUNDER,20,50.0,DC,Uncapped,2022,2.5,False
Prerak Mankad,India,27,ALL-ROUNDER,20,20.0,PK,Uncapped,2022,1.0,False
Suyash Prabhudessai,India,24,ALL-ROUNDER,20,30.0,RCB,Uncapped,2022,1.5,False
Ramandeep Singh,India,24,ALL-ROUNDER,20,20.0,MI,Uncapped,2022,1.0,False
B Sai Sudharsan,India,20,ALL-ROUNDER,20,20.0,GT,Uncapped,2022,1.0,False
Atharva Taide,India,21,ALL-ROUNDER,20,20.0,PK,Uncapped,2022,1.0,False
Dhruv Jurel,India,21,WICKETKEEPER,20,20.0,RR,Uncapped,2022,1.0,False
Aryan Juyal,India,20,WICKETKEEPER,20,20.0,MI,Uncapped,2022,1.0,False
Luvnith Sisodia,India,22,WICKETKEEPER,20,20.0,RCB,Uncapped,2022,1.0,False
Vaibhav Arora,India,24,BOWLER,20,200.0,PK,Uncapped,2022,10.0,False
Mukesh Choudhary,India,25,BOWLER,20,20.0,CSK,Uncapped,2022,1.0,False
Rasikh Dar,India,22,BOWLER,20,20.0,KKR,Uncapped,2022,1.0,False
Mohsin Khan,India,23,BOWLER,20,20.0,LSG,Uncapped,2022,1.0,False
Chama Milind,India,27,BOWLER,20,25.0,RCB,Uncapped,2022,1.25,False
Mayank Yadav,India,19,BOWLER,20,20.0,LSG,Uncapped,2022,1.0,False
Tejas Baroka,India,26,BOWLER,20,20.0,RR,Uncapped,2022,1.0,False
Prashant Solanki,India,22,BOWLER,20,120.0,CSK,Uncapped,2022,6.0,False
Bhanuka Rajapaksa,Sri Lanka,30,BATSMAN,50,50.0,PK,Capped,2022,1.0,True
Fabian Allen,West Indies,26,ALL-ROUNDER,75,75.0,MI,Capped,2022,1.0,True
